id,body,message,reference,status
339,"{""WorldRemitId"":""27942305"",""Reference"":""27942305"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27942305,INITIALIZED
340,"{""WorldRemitId"":""27942313"",""Reference"":""27942313"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942313,INITIALIZED
341,"{""WorldRemitId"":""27942307"",""Reference"":""27942307"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27942307,INITIALIZED
366,"{""WorldRemitId"":""27942327"",""Reference"":""27942327"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942327,INITIALIZED
373,"{""WorldRemitId"":""27942323"",""Reference"":""27942323"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942323,INITIALIZED
374,"{""WorldRemitId"":""27942319"",""Reference"":""27942319"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942319,INITIALIZED
375,"{""WorldRemitId"":""27942337"",""Reference"":""27942337"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942337,INITIALIZED
376,"{""WorldRemitId"":""27942316"",""Reference"":""27942316"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942316,INITIALIZED
407,"{""WorldRemitId"":""27942338"",""Reference"":""27942338"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942338,INITIALIZED
408,"{""WorldRemitId"":""27942343"",""Reference"":""27942343"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942343,INITIALIZED
409,"{""WorldRemitId"":""27942340"",""Reference"":""27942340"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942340,INITIALIZED
410,"{""WorldRemitId"":""27942346"",""Reference"":""27942346"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942346,INITIALIZED
411,"{""WorldRemitId"":""27942353"",""Reference"":""27942353"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942353,INITIALIZED
422,"{""WorldRemitId"":""27942358"",""Reference"":""27942358"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942358,INITIALIZED
443,"{""WorldRemitId"":""27942361"",""Reference"":""27942361"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942361,INITIALIZED
444,"{""WorldRemitId"":""27942360"",""Reference"":""27942360"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942360,INITIALIZED
445,"{""WorldRemitId"":""27942364"",""Reference"":""27942364"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942364,INITIALIZED
446,"{""WorldRemitId"":""27942355"",""Reference"":""27942355"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942355,INITIALIZED
459,"{""WorldRemitId"":""27942368"",""Reference"":""27942368"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27942368,INITIALIZED
460,"{""WorldRemitId"":""27943199"",""Reference"":""27943199"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27943199,INITIALIZED
494,"{""WorldRemitId"":""27943353"",""Reference"":""27943353"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27943353,INITIALIZED
502,"{""WorldRemitId"":""27944259"",""Reference"":""27944259"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27944259,INITIALIZED
510,"{""WorldRemitId"":""27944356"",""Reference"":""27944356"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""BankTransfer"",""FinancialDetail"":{""SettlementAmount"":""14.241732""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""AccountNumber"":""0810197039302"",""BIC"":""EQBLKENA"",""bankName"":""EQUITY BANK LTD"",""bankCode"":""""}}",DATA FROM PRODUCER,27944356,INITIALIZED
526,"{""WorldRemitId"":""27946217"",""Reference"":""27946217"",""CorridorDetail"":{""RecipientCountryCodeIso2"":""KE"",""SettlementCurrencyCode"":""KES"",""RecipientCurrencyCode"":""KES"",""RecipientCountryDialCode"":""254"",""ApiCode"":""MPESA""},""ProductCode"":""MobileMoney"",""FinancialDetail"":{""SettlementAmount"":""1526.470000""},""SenderDetail"":{""FirstName"":""Andrii"",""MiddleName"":""Ol"",""LastName"":""Borysenko""},""RecipientDetail"":{""MobileAccountNumber"":""254722000000"",""FirstName"":""Jomo"",""MiddleName"":""Joshua"",""LastName"":""Kiplimo""},""BankDetail"":{""bankName"":"""",""bankCode"":""""}}",DATA FROM PRODUCER,27946217,INITIALIZED
